pos,word,freq,freq_by_pos,
DTP,the,2522,2522,
DTS,the,2522,2522,
CC,and,1223,1223,
TO,to,1043,1043,
IN,in,939,939,
IN,for,404,404,
CC,or,384,384,
PRP,it,343,343,
IN,as,339,312,
PRP,they,309,309,
IN,on,241,241,
DTS,this,221,221,
IN,with,208,208,
JJ,other,207,207,
NN,computer,206,206,
MD,can,206,206,
NN,food,203,203,
NNS,people,189,189,
DTP,some,184,184,
DTS,some,184,184,
WDT,which,175,175,
NN,art,170,161,
VBN,used,161,150,
NN,school,160,160,
RBA,also,154,154,pre
IN,at,153,153,
NNS,animals,150,149,
PRP$,their,147,147,
NNS,computers,144,144,
NNS,plants,129,129,
CC,but,128,128,
NNS,humans,122,120,
JJ,different,113,113,
EX,there,96,88,
NNS,schools,95,95,
NN,meat,94,92,
WRB,when,94,94,
DTP,these,93,93,
NN,plant,91,91,
PRP,them,91,91,
NNS,rights,82,82,
RBA,only,82,75,pre
WRB,how,82,82,
PRP,he,81,81,
WP,who,81,81,
RBA,often,79,79,pre
MD,may,79,79,
NNS,years,75,75,
RBA,usually,73,73,pre
NN,student,72,69,
NNS,references,71,71,
CD,two,71,71,
JJ,modern,69,68,
NNS,data,66,55,
JJ,high,65,65,
NN,time,63,63,
NNS,students,63,63,
PRP$,its,61,61,
NNS,things,60,60,
JJ,united,56,55,
NN,system,56,56,
WRB,where,55,55,
NNS,species,53,50,
NN,world,52,52,
NNS,vegetables,50,50,
NN,body,49,49,
NNS,states,48,43,
DTS,each,48,48,
NNS,children,47,47,
JJ,same,45,45,
NN,example,45,45,
NNS,countries,45,45,
WP,what,45,43,
MD,will,45,45,
JJ,new,44,44,
NN,music,44,44,
NN,memory,43,42,
VBG,using,43,43,
IN,through,41,41,
JJ,common,41,41,
NN,part,41,41,
JJ,important,40,40,
NN,farm,40,40,
NN,program,40,40,
NN,way,38,38,
NN,network,37,37,
NN,century,36,36,
NN,water,36,36,
NNS,programs,36,36,
VBP,include,36,31,
PRP$,his,36,36,
NN,life,35,35,
NN,mouse,35,34,
DTS,any,35,35,
DTS,another,35,35,
MD,could,35,35,
NN,science,34,33,
IN,around,33,29,
NN,year,33,33,
NN,information,33,33,
RBA,even,33,33,pre
JJ,large,32,32,
NN,age,32,32,
NN,history,32,32,
DTP,no,32,29,
NNS,parts,31,31,
JJ,middle,30,29,
NN,development,30,30,
NN,machine,30,30,
NNS,pages,30,30,
RBA,sometimes,30,30,pre
NN,language,29,29,
NN,education,29,28,
NNS,examples,29,29,
DTS,every,29,29,
VBG,including,29,29,
MD,should,29,29,
JJ,main,28,28,
JJ,similar,28,28,
NN,rock,28,27,
JJ,hard,27,26,
JJ,primary,27,25,
NN,software,27,27,
NNS,ways,27,27,
DTP,those,27,27,
JJ,small,26,26,
NN,group,26,26,
NN,number,26,26,
NN,person,26,26,
NNS,systems,26,26,
MD,would,26,26,
NN,word,25,25,
NNS,artists,25,25,
NNS,instructions,25,25,
NN,list,24,23,
NN,color,24,22,
NN,storage,24,24,
NN,council,24,23,
RBP,now,24,24,post
VBG,making,24,21,
JJ,great,23,23,
JJ,own,23,22,
JJ,able,23,23,
NN,device,23,23,
